City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloud Coverage (%),Wind Speed (MPH)
Sechura,PE,-5.56,-80.82,60.91,89,0,9.6
Dunnville,CA,42.9,-79.62,68.14,63,1,6.93
Mabaruma,GY,8.2,-59.78,72.61,97,63,2.06
Effingham,US,39.12,-88.54,75.47,83,90,4.7
Semirom,IR,31.41,51.57,55.15,23,0,2.66
Sao Joao da Barra,BR,-21.64,-41.05,62.35,87,46,1.81
Shache,CN,38.42,77.24,66.97,81,83,3.0
Tibana,RO,46.98,27.33,63.43,59,0,2.24
Constitucion,MX,23.99,-104.67,73.4,33,75,5.82
Moose Factory,CA,51.26,-80.61,69.8,60,40,8.05
Mwanza,TZ,-2.52,32.9,68.0,77,40,9.17
Nailsea,GB,51.43,-2.76,58.75,93,66,4.7
Concordia,AR,-31.4,-58.02,63.0,95,0,9.6
Shizunai,JP,42.33,142.37,67.93,80,0,12.26
Batemans Bay,AU,-35.71,150.18,53.83,64,68,1.99
La Reforma,MX,25.08,-108.06,85.41,94,75,3.36
Martapura,ID,-3.41,114.85,84.2,66,20,3.36
Ilhabela,BR,-23.78,-45.36,67.75,84,100,13.02
Lasa,CY,34.92,32.53,72.68,68,0,6.93
Goba,ET,7.01,39.97,43.99,90,68,3.22
Mantua,IT,45.16,10.79,71.19,77,0,4.7
Izumo,JP,35.37,132.75,76.17,88,75,1.12
Nyurba,RU,63.29,118.35,70.81,50,9,6.49
Egvekinot,RU,66.32,-179.17,60.55,57,0,4.32
Nhulunbuy,AU,-12.18,136.78,80.6,54,20,17.22
Abha,SA,18.22,42.5,67.21,48,0,2.66
Shchors,UA,51.82,31.95,55.33,77,2,2.64
Varberg,SE,57.11,12.25,60.35,72,100,5.82
Lovozero,RU,68.01,35.02,43.27,95,97,2.59
Mpanda,BI,-3.17,29.4,63.25,58,0,3.22
Polis,CY,35.04,32.42,70.54,68,0,6.93
Arman,RU,59.7,150.17,52.45,83,100,3.53
Luau,CD,-10.7,22.23,64.87,56,0,2.98
Muros,ES,42.77,-9.06,63.99,93,75,4.7
Los Llanos de Aridane,ES,28.66,-17.92,70.02,78,90,13.87
Port-Cartier,CA,50.03,-66.88,58.1,82,40,5.82
Torbay,CA,47.66,-52.73,55.31,47,90,5.82
Kosh-Agach,RU,49.99,88.66,57.67,40,90,2.89
Japura,ID,-0.42,102.29,80.53,88,36,3.27
Kushiro,JP,43.11,144.15,71.6,78,40,8.05
Hoquiam,US,46.98,-123.89,67.82,56,1,5.82
Victoria,BN,5.28,115.24,82.9,74,75,6.93
Diamantino,BR,-14.4,-56.44,81.97,41,100,2.44
Myitkyina,MM,25.38,97.4,82.69,79,44,2.57
Anaconda,US,46.13,-112.94,66.2,29,1,11.41
Aleksandrovsk,RU,59.16,57.56,43.0,100,100,4.72
Zeya,RU,53.74,127.27,66.31,56,100,8.86
Konyshevka,RU,51.85,35.29,43.0,88,67,5.32
Saravan,AM,39.72,45.65,68.0,37,0,9.17
Mitsamiouli,KM,-11.38,43.28,75.49,72,0,2.93
Yamada,JP,36.58,137.08,83.79,65,75,3.36
Buy,RU,58.48,41.53,51.73,96,4,9.62
Paamiut,GL,61.99,-49.67,42.19,87,97,8.68
Aguimes,ES,27.91,-15.45,72.07,78,75,25.28
Aloleng,PH,16.13,119.78,82.33,84,100,12.06
Madang,CN,35.32,102.79,51.73,64,81,2.3
Bandarbeyla,SO,9.49,50.81,76.03,67,0,27.02
Labuhan,ID,-2.54,115.51,83.59,71,100,2.64
Zamora,ES,41.51,-5.74,58.55,87,0,2.24
General Roca,AR,-39.03,-67.58,53.6,46,20,4.7
Lorengau,PG,-2.02,147.27,82.15,80,68,7.94
Bagdarin,RU,54.44,113.59,61.81,61,96,6.29
Hare Bay,CA,48.86,-53.99,62.6,55,40,9.17
Farafenni,GM,13.57,-15.6,76.57,90,97,6.38
Mana,NG,13.03,5.27,75.31,84,97,9.66
Iquitos,PE,-3.75,-73.25,77.0,88,0,1.88
Camargo,MX,27.69,-105.17,87.91,34,45,2.01
Vera Cruz,BR,-12.96,-38.61,77.0,83,40,12.75
Vila,IT,45.18,8.4,70.36,100,0,8.05
La Ronge,CA,55.1,-105.3,55.4,93,90,8.05
Montepuez,MZ,-13.13,39.0,60.91,95,0,1.81
Berdigestyakh,RU,62.1,126.7,67.93,48,100,4.7
Sa Kaeo,TH,13.8,102.09,80.17,85,100,9.6
Yanji,CN,42.89,129.5,68.29,86,100,2.98
Lake Cowichan,CA,48.82,-124.05,68.18,43,5,2.24
Kulhudhuffushi,MV,6.62,73.07,81.43,75,100,7.25
Benguela,AO,-12.58,13.4,68.65,86,0,8.66
Samfya,ZM,-11.37,29.56,57.67,65,0,4.34
Kidal,ML,18.44,1.41,84.49,55,35,5.57
Taksimo,RU,56.36,114.84,62.89,52,40,8.97
Ginir,ET,7.14,40.71,56.05,80,31,6.62
Masvingo,ZW,-20.08,30.83,59.65,57,0,3.4
